"spec";"h_iter";"eta_gzt_mitt";"eta_gzg_mitt";"sig_gzt_mitt";"sig_gzg_mitt";"w_iter";"gam_ks";"gam_ku";"ei_eff_gzg";"ei_eff_gzt"
"SPEC_5";0.1;5.67942240797102;2.88466815152606;6.53322890996932;3.31832993030548;37.1396646499634;0.269592057436931;0.207316664119821;25102583.65;22714237.53
"SPEC_5";0.095;4.69221712298685;2.21373940923531;5.3976137638092;2.54653823375702;37.179741859436;0.27858455179552;0.215175012046567;25301925.31;22907288.94
"SPEC_5";0.09;3.65624464584136;1.51042036994994;4.20590009093285;1.73748689889908;37.2039823532104;0.288265063185698;0.223688809395305;25484156.89;23088089.89
"SPEC_5";0.085;2.56743541802921;0.771251313066663;2.9534065425396;0.887196093797684;37.2188367843628;0.298732575875732;0.232954071107928;25646903.91;23254675.6
"SPEC_5";0.08;1.41999224620223;0.000573888475842335;1.6334644138813;-0.0097561040893197;37.2316951751709;0.310103881124831;0.243085488929126;25787177.14;23404733.12
"SPEC_5";0.075;0.205858271127506;0.0565097244346843;0.236805631220341;-0.960665315389633;37.2511100769043;0.32251629479595;0.254220298134093;25901106.74;23535472.63
"SPEC_5";0.075;0.205858271127506;0.0565097244346843;0.236805631220341;-0.960665315389633;37.2511100769043;0.32251629479595;0.254220298134093;25901106.74;23535472.63
"SPEC_5";0.075;0.205858271127506;0.0565097244346843;0.236805631220341;-0.960665315389633;37.2511100769043;0.32251629479595;0.254220298134093;25901106.74;23535472.63
"SPEC_5";0.075;0.205858271127506;0.0565097244346843;0.236805631220341;-0.960665315389633;37.2511100769043;0.32251629479595;0.254220298134093;25901106.74;23535472.63
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_6";0.07;0.0718120688486708;0.0417895246954525;0.0826078165322542;-0.710421919822693;27.4561128616333;0.343008415058189;0.270648285893519;20798720.31;18993089.6
"SPEC_7";0.12;5.59029111790332;3.15243484178718;6.43069821596145;3.62635087966919;23.3226633071899;0.236875010546679;0.17985914787751;28527602.1;25748647.56
"SPEC_7";0.115;5.05363480038174;2.78514221211303;5.81336456537246;3.20384192466736;23.395697593689;0.243577518548507;0.18563023837388;28778669.38;25982810.13
"SPEC_7";0.11;4.49036055459592;2.40129123594892;5.16541142463684;2.76228535175324;23.4508504867553;0.250685032207857;0.191789616072027;29016721.57;26207613.08
"SPEC_7";0.105;3.89988665752084;2.00019069976719;4.48616961836814;2.30088603496552;23.4905214309692;0.258249251507691;0.198385881332611;29240148.46;26422306.58
"SPEC_7";0.1;3.28118104549188;1.58080020803398;3.77445192933082;1.81844717264175;23.5174560546875;0.266331486804224;0.205476487596901;29447232.52;26625480.48
"SPEC_7";0.095;2.63264432605609;1.14165474041342;3.02841852307319;1.31328350305557;23.5347681045532;0.275004190124592;0.213129394921556;29636099.92;26815563.78
"SPEC_7";0.09;1.95194493598159;0.680756125025941;2.24538732469082;0.783096462488174;23.5460042953491;0.284352597110639;0.221425615704119;29804646.13;26990790.94
"SPEC_7";0.085;1.23584976803562;0.195446389372955;1.42163918316364;0.224828496575356;23.5551891326904;0.294477123987825;0.230461052978015;29950455.23;27149087.22
"SPEC_7";0.08;0.479934922217356;0.0215034616344115;0.552085138857365;-0.365558847784996;23.566969871521;0.305495463311536;0.240350391824872;30069935.21;27287998.42
"SPEC_8";0.1;8.855668270771;5.16289291227082;10.1869704008102;5.93904781341553;43.4823398590088;0.258626783026592;0.200549759207731;13908289.05;12714895.81
"SPEC_8";0.095;7.87396705589305;4.49076040141377;9.05768676996231;5.16587138175964;43.6826763153076;0.266274284794462;0.207534545031725;14062917.53;12862135.3
"SPEC_8";0.09;6.82954315654233;3.77963992417015;7.85625114440919;4.34784579277039;43.8269786834717;0.274455689640987;0.215060625055179;14207004.63;13001289.15
"SPEC_8";0.085;5.72114290620444;3.02792199968567;6.58122138977051;3.48311960697175;43.9239444732666;0.283268594831516;0.223217823949035;14339222.02;13131698.85
"SPEC_8";0.08;4.54594714853668;2.23280363793098;5.22935453653336;2.56846845149994;43.9838962554932;0.292833991003101;0.232117522842637;14458188.58;13252124.13
"SPEC_8";0.075;3.29904667158742;1.38994516824785;3.7950033545494;1.59890025854111;44.018949508667;0.303299398789347;0.241896897965412;14562383.69;13361177.43
"SPEC_8";0.07;1.9727460459259;0.492987218921477;2.26931553483009;0.567099630832672;44.0432682037354;0.314844602421962;0.252725231674774;14650057.56;13457243.15
